# So'z Jangi word-content master (WS-B): word	theme	definition_uz
# Themes: fixed taxonomy in content/taxonomy_uz.txt. Keyed by word so
# content survives tier re-cuts and schedule regeneration.
koʻrik	Jamiyat	Holatni tekshirish uchun oʻtkaziladigan tadbir.
koʻrpa	Uy-roʻzgʻor	Paxta solingan yopingich.
koʻsak	Tabiat	Paxtaning ochilmagan mevasi.
koʻzgu	Uy-roʻzgʻor	Aks tasvir koʻrsatuvchi silliq yuza.
kuchuk	Hayvonot	Itning yosh bolasi.
kukun	Ilm	Mayda un holiga keltirilgan modda.
kulba	Qurilish	Kichik, kamtarona yashash joyi.
kulcha	Oshxona	Kichik yumaloq non.
kulgi	Tuygʻu	Xursandlikdan chiqadigan ovozli ifoda.
kuloh	Kiyim	Uchli qadimiy bosh kiyimi.
kulol	Kasb-hunar	Loydan idish yasovchi hunarmand.
kumush	Tabiat	Oq tusli qimmatbaho maʼdan.
kunda	Asbob	Goʻsht chopiladigan yoʻgʻon yogʻoch tagligi.
kungay	Tabiat	Quyosh tushadigan yon tomon.
kurak	Asbob	Yer qazish yoki qor tozalash uchun asbob.
kurash	Oʻyin	Ikki polvon bellashadigan milliy sport turi.
kurka	Hayvonot	Yirik gavdali xonaki parranda.
kurra	Ilm	Shar shaklidagi jism, olam modeli.
kursi	Uy-roʻzgʻor	Bir kishilik suyanchiqli oʻtirgʻich.
kuyov	Oila	Qizning turmush oʻrtogʻi boʻluvchi yigit.
lagan	Uy-roʻzgʻor	Palov tortiladigan katta yassi idish.
lahja	Til	Muayyan hudud aholisining soʻzlashuv shevasi.
lahza	Vaqt	Koʻz ochib yumguncha oʻtadigan payt.
lampa	Uy-roʻzgʻor	Yorugʻlik beruvchi shisha qalpoqli chiroq.
langar	Asbob	Kemani joyida ushlab turuvchi ogʻir temir.
lapar	Sanʼat	Qizlar davrasida aytiladigan hazil qoʻshiq.
laqab	Til	Kishiga xislatiga qarab berilgan qoʻshimcha nom.
laqqa	Hayvonot	Moʻylovli yirik daryo baligʻi.
latcha	Hayvonot	Uzun tanali mayda yirtqich jonivor.
latta	Uy-roʻzgʻor	Eski mato parchasi.
lavash	Oshxona	Yupqa yoyib pishiriladigan non turi.
lavha	Sanʼat	Kichik tasvir yoki yozuvli taxtacha.
laxta	Jism	Quyulib qolgan qon boʻlagi.
lazgi	Sanʼat	Xorazmga xos oʻynoqi raqs va kuy.
lenta	Kiyim	Uzun ensiz bezak tasmasi.
libos	Kiyim	Ust-bosh, kiyiladigan narsa.
lider	Jamiyat	Guruhni boshqarib boruvchi yetakchi.
limon	Oshxona	Nordon sariq sitrus mevasi.
lison	Til	Nutq vositasi, soʻzlashuv qobiliyati.
lochin	Hayvonot	Ovda ishlatiladigan tez uchar yirtqich qush.
lugʻat	Til	Soʻzlar izohi jamlangan kitob.
madad	Tuygʻu	Qoʻllab-quvvatlovchi yordam kuchi.
madang	Qurilish	Eshikni ichdan bekituvchi yogʻoch tambasi.
magʻiz	Oshxona	Danak ichidagi yeyiladigan yumshoq qism.
mahal	Vaqt	Muayyan payt, vaqt boʻlagi.
mahsi	Kiyim	Yumshoq charmdan poshnasiz milliy oyoq kiyimi.
majoz	Til	Soʻzning koʻchma maʼnoda qoʻllanishi.
makon	Qurilish	Yashash yoki joylashish oʻrni.
malak	Din	Nurdan yaratilgan gunohsiz mavjudot.
malax	Hayvonot	Ekinlarni gala boʻlib qiruvchi hasharot.
malik	Tarix	Qadimgi hukmdorlarning unvoni.
manba	Ilm	Maʼlumot yoki narsaning kelib chiqish oʻrni.
manti	Oshxona	Bugʻda pishiriladigan xamirli goʻshtli taom.
maqol	Til	Xalq donoligini ifodalovchi hikmatli gap.
maqom	Sanʼat	Sharq mumtoz musiqasining yirik turkumi.
maral	Hayvonot	Shoxdor yirik yovvoyi jonivor.
marka	Savdo	Xat joʻnatishda yopishtiriladigan qogʻozcha.
marra	Oʻyin	Poygada yetib boriladigan soʻnggi chiziq.
marza	Tabiat	Ekin maydonlarini ajratuvchi koʻtarma tuproq.
masal	Sanʼat	Hayvonlar tilidan ibrat beruvchi sheʼriy hikoya.
matal	Til	Toʻliq boʻlmagan hikmatli ibora.
mavqe	Jamiyat	Jamiyatdagi tutgan oʻrin, obroʻ.
mavzu	Ilm	Suhbat yoki asarning bosh masalasi.
mayak	Tabiat	Oldinga intilish uchun namuna belgisi.
mayib	Jism	Aʼzosi shikastlangan kishi.
mayiz	Oshxona	Quritilgan uzum donalari.
mayna	Hayvonot	Odam nutqiga taqlid qila oladigan qora qush.
mayoq	Tabiat	Kemalarga yoʻl koʻrsatuvchi yorugʻlik minorasi.
maysa	Tabiat	Endigina koʻkargan yosh oʻt.
mazax	Tuygʻu	Birovni kulgi qilib ustidan kulish.
mebel	Uy-roʻzgʻor	Xona jihozlarining umumiy nomi.
medal	Jamiyat	Xizmat uchun beriladigan koʻkrak nishoni.
meros	Oila	Ota-bobodan qolgan mulk yoki boylik.
metro	Jamiyat	Yer ostidan qatnaydigan shahar poyezdi.
mezon	Ilm	Baholash uchun asos boʻladigan oʻlchov.
mijoz	Savdo	Xizmatdan doimiy foydalanuvchi xaridor.
milod	Vaqt	Yil hisobi boshlanadigan tarixiy nuqta.
minut	Vaqt	Oltmish soniyalik vaqt oʻlchovi.
mirob	Kasb-hunar	Suv taqsimotini boshqaruvchi kishi.
misol	Ilm	Fikrni tushuntirish uchun keltirilgan namuna.
misra	Sanʼat	Sheʼrning bir qatori.
mizoj	Jism	Kishi tabiatining tugʻma xususiyati.
modda	Ilm	Olamni tashkil etuvchi jismiy asos.
mogʻor	Tabiat	Nam joyda paydo boʻladigan poʻpanak.
molchi	Kasb-hunar	Qoramol boquvchi kishi.
motam	Tuygʻu	Marhum uchun tutiladigan qaygʻu.
motor	Asbob	Mashinani harakatga keltiruvchi qurilma.
moxov	Jism	Terini yemiruvchi ogʻir yuqumli kasallik.
moyak	Jism	Erkaklik urugʻ bezi.
moziy	Vaqt	Oʻtib ketgan zamon.
mozor	Din	Marhumlar dafn etilgan joy.
moʻyna	Kiyim	Hayvonning qimmatbaho yumshoq terisi.
muchal	Vaqt	Oʻn ikki yillik hayvon taqvimi.
mudir	Kasb-hunar	Boʻlim yoki muassasa boshligʻi.
mufti	Din	Diniy idoraning oliy mansabdori.
muguz	Jism	Hayvon boshidagi qattiq oʻsimta.
muhit	Tabiat	Atrofni qamrab olgan sharoit.
mulla	Din	Diniy ilm olgan kishi.
mullo	Din	Diniy savodli kishining eski atalishi.
murda	Jism	Jon uzilgan tana, jasad.
murid	Din	Pir qoʻl ostidagi shogird.
mushak	Jism	Tanani harakatlantiruvchi toʻqima.
mushuk	Hayvonot	Sichqon ovlaydigan xonaki jonivor.
muzey	Sanʼat	Qimmatli buyumlar saqlanib koʻrsatiladigan dargoh.
nafar	Oila	Kishilarni sanashda ishlatiladigan birlik.
nafas	Jism	Havoni olib chiqarish jarayoni.
nagʻma	Sanʼat	Yoqimli kuy ohangi.
najot	Tuygʻu	Xavfdan qutulish yoʻli.
namat	Uy-roʻzgʻor	Jundan bosilgan qalin toʻshama.
namoz	Din	Kuniga besh mahal oʻqiladigan ibodat.
narsa	Uy-roʻzgʻor	Har qanday jism yoki buyum.
nasab	Oila	Kishining ota tomondan kelib chiqishi.
nasos	Asbob	Suyuqlik yoki havoni tortib uzatuvchi qurilma.
naycha	Asbob	Ichi kovak ingichka trubka.
naychi	Sanʼat	Puflama cholgʻuda kuy ijro etuvchi sozanda.
nayza	Asbob	Uchi oʻtkir uzun sopli qadimiy qurol.
nazar	Tuygʻu	Qarash, eʼtibor bilan boqish.
negiz	Ilm	Biror narsaning asosi, poydevori.
nifoq	Jamiyat	Ichdan buzuvchi ikkiyuzlamachilik, nizo.
nigoh	Tuygʻu	Koʻz qarashi.
nihol	Tabiat	Yangi ekilgan yosh daraxtcha.
nikoh	Oila	Er-xotinlikni rasmiylashtiruvchi ahd.
nimcha	Kiyim	Yengsiz kalta ustki kiyim.
niqob	Kiyim	Yuzni yashirish uchun tutiladigan parda.
nishab	Tabiat	Pastga qiya joy.
nishon	Jamiyat	Moʻljal yoki xizmat belgisi.
niyat	Tuygʻu	Koʻngilda tugilgan maqsad.
nizom	Jamiyat	Faoliyatni belgilovchi qoidalar toʻplami.
nomus	Tuygʻu	Shaʼn, or va uyat tuygʻusi.
norin	Oshxona	Ingichka kesilgan xamir va goʻshtli milliy taom.
noshir	Kasb-hunar	Kitob chop etib tarqatuvchi shaxs.
notiq	Kasb-hunar	Soʻzga chechan, nutq soʻzlovchi kishi.
novda	Tabiat	Daraxtning yosh shoxchasi.
noxun	Sanʼat	Torli sozni chertadigan tirnoqcha.
nozir	Jamiyat	Nazorat qiluvchi mansabdor.
noʻxat	Oshxona	Dumaloq donli dukkakli ekin.
nufuz	Jamiyat	Taʼsir kuchi, obroʻ-eʼtibor.
nukta	Til	Nozik maʼnoli chuqur fikr.
nuqta	Ilm	Eng kichik belgi, tinish belgisi.
nusxa	Ilm	Asl narsadan koʻchirilgan ayni oʻxshashi.
obida	Tarix	Oʻtmishdan qolgan meʼmoriy yodgorlik.
obuna	Savdo	Nashrga oldindan haq toʻlab yozilish.
ochlik	Jism	Qorin toʻymaganlik holati.
oftob	Tabiat	Quyosh va uning taftli nuri.
ogʻriq	Jism	Tandagi azob beruvchi noxush sezgi.
okean	Tabiat	Qitʼalarni ajratib turuvchi ulkan suvlik.
olacha	Kiyim	Yoʻl-yoʻl toʻqilgan milliy mato.
olima	Ilm	Fan bilan shugʻullanuvchi ayol.
olmos	Tabiat	Eng qattiq qimmatbaho tosh.
olmosh	Til	Ot oʻrnida qoʻllanadigan soʻz turkumi.
olqish	Tuygʻu	Maʼqullab bildirilgan maqtov sadosi.
oltin	Tabiat	Sariq tusli qimmatbaho maʼdan.
ombor	Qurilish	Mahsulot saqlanadigan bino.
oqava	Tabiat	Ishlatilib oqiziladigan iflos suv.
oqqush	Hayvonot	Uzun boʻyinli oppoq suv qushi.
oqshom	Vaqt	Kun botgandan keyingi payt.
oqsil	Ilm	Tirik organizm asosini tashkil etuvchi modda.
oshpaz	Kasb-hunar	Taom tayyorlovchi usta.
osmon	Tabiat	Boshimiz uzra koʻk gumbaz.
otliq	Jamiyat	Ot mingan kishi.
ovora	Tuygʻu	Behuda urinib sarson boʻlish.
ovoza	Til	El ichida tarqalgan gap-soʻz.
ovqat	Oshxona	Yeb-ichiladigan taom.
oyina	Uy-roʻzgʻor	Aks koʻrsatuvchi shisha buyum.
oylik	Savdo	Har oy toʻlanadigan ish haqi.
oziqa	Oshxona	Jonzotga quvvat beruvchi yegulik.
ozuqa	Oshxona	Hayvonlarga beriladigan yem-xashak.
oʻgʻlon	Oila	Navqiron yosh yigit.
oʻlcham	Ilm	Narsaning kattaligini bildiruvchi miqdor.
oʻlpon	Tarix	Qadimda yerdan olingan soliq turi.
oʻmrov	Jism	Yelka bilan koʻkrakni tutashtiruvchi suyak.
oʻqdon	Asbob	Oʻqlar solib qoʻyiladigan idish yoki qin.
oʻrama	Uy-roʻzgʻor	Aylantirib yigʻilgan narsa toʻplami.
oʻrdak	Hayvonot	Suvda suzuvchi yassi tumshuqli parranda.
oʻrmon	Tabiat	Daraxtlar qalin oʻsgan katta maydon.
oʻrnak	Tuygʻu	Boshqalarga ibrat boʻladigan namuna.
oʻrtoq	Oila	Yaqin doʻst, hamroh.
oʻsmir	Oila	Bolalikdan yigitlikka oʻtish yoshidagi kishi.
oʻtloq	Tabiat	Mol boqiladigan koʻm-koʻk maydon.
oʻtmish	Vaqt	Oʻtib ketgan davr voqealari.
oʻtroq	Jamiyat	Bir joyda muqim yashovchi turmush tarzi.
oʻtxoʻr	Hayvonot	Faqat oʻsimlik bilan oziqlanuvchi jonivor.
oʻynash	Oila	Nikohsiz yashirin munosabatdagi kimsa.
oʻzlik	Tuygʻu	Kishining oʻz mohiyatini anglashi.
paket	Uy-roʻzgʻor	Narsa solinadigan yengil xalta.
palak	Tabiat	Poliz ekinlarining yer boʻylab yoyilgan poyasi.
palla	Vaqt	Kun yoki ish jarayonining bir bosqichi.
palma	Tabiat	Issiq oʻlkalarda oʻsadigan baland tropik daraxt.
palos	Uy-roʻzgʻor	Patsiz toʻqilgan yerga yoziladigan gilamcha.
palov	Oshxona	Guruch va sabzidan damlanadigan milliy taom.
palto	Kiyim	Sovuqdan saqlaydigan uzun ustki kiyim.
panda	Hayvonot	Bambuk yeb yashovchi oq-qora ayiqsimon jonivor.
panja	Jism	Qoʻl-oyoqning barmoqlari bilan birga uchki qismi.
panoh	Tuygʻu	Xavfdan saqlaydigan himoya, boshpana.
parcha	Uy-roʻzgʻor	Butundan ajralgan boʻlak.
parda	Uy-roʻzgʻor	Deraza yoki sahnani toʻsuvchi mato.
parma	Asbob	Yogʻoch va metallni teshadigan aylanma asbob.
pashsha	Hayvonot	Ovqatga qoʻnadigan uchuvchi hasharot.
patir	Oshxona	Qatlamli qalin milliy non.
paxsa	Qurilish	Loydan urib koʻtariladigan devor.
paxta	Tabiat	Oq tolali asosiy texnik ekin.
pechak	Tabiat	Chirmashib oʻsuvchi oʻsimlik.
peshin	Vaqt	Kun oʻrtasidagi payt va shu paytdagi ibodat.
peshob	Jism	Buyrak ajratadigan suyuqlik.
peshvo	Jamiyat	Oldinda boruvchi rahnamo, yoʻlboshchi.
pichan	Tabiat	Qishga gʻamlab quritilgan oʻt.
piching	Til	Kesatib aytilgan achchiq gap.
pichoq	Uy-roʻzgʻor	Dastali keskir tigʻ.
pilik	Uy-roʻzgʻor	Chiroqning yonib turadigan ip qismi.
pilla	Tabiat	Ipak qurti oʻragan gʻumbak uyasi.
pilta	Uy-roʻzgʻor	Eshilgan ip yoki paxta tolasi.
pista	Oshxona	Chaqib yeyiladigan mayda ochiq danak.
piyoz	Oshxona	Achchiq taʼmli qatlamli sabzavot.
pochta	Jamiyat	Xat va joʻnatmalarni yetkazuvchi xizmat.
podsho	Tarix	Mamlakatni yakka boshqargan hukmdor.
poliz	Tabiat	Qovun-tarvuz ekiladigan maydon.
popuk	Kiyim	Ip tolalaridan yasalgan osma bezakcha.
poxol	Tabiat	Don ajratilgandan qolgan quruq poya.
poyga	Oʻyin	Tezlik boʻyicha oʻtkaziladigan musobaqa.
poyon	Vaqt	Nihoya, tugash nuqtasi.
poʻkak	Tabiat	Suvda choʻkmaydigan yengil daraxt poʻstlogʻi.
poʻlat	Qurilish	Qattiq va pishiq temir qotishmasi.
pufak	Oʻyin	Havo bilan shishiriladigan yupqa qobiq.
putur	Tuygʻu	Butunlikka yetgan zarar, darz.
qabul	Jamiyat	Kelganni yoki taklifni rozilik bilan olish.
qadah	Uy-roʻzgʻor	Ichimlik quyiladigan oyoqli idishcha.
qadam	Jism	Yurishda bir oyoq tashlami.
qadoq	Savdo	Mahsulotning oʻralgan holati yoki eski ogʻirlik oʻlchovi.
qafas	Uy-roʻzgʻor	Qush yoki jonivor saqlanadigan panjarali qutisi.
qahva	Oshxona	Qovurilgan donidan damlanadigan achchiq qora ichimlik.
qalam	Ilm	Yozish uchun qoʻl quroli.
qalin	Savdo	Kelin uchun beriladigan mol-mulk odati.
qamal	Jamiyat	Shaharni oʻrab olib qurshovda ushlash.
qamar	Tabiat	Oyning kitobiy nomi.
qamchi	Asbob	Otni niqtash uchun tasmali qoʻl quroli.
qamish	Tabiat	Suv boʻyida oʻsadigan uzun poyali oʻsimlik.
qanot	Hayvonot	Uchish uchun xizmat qiladigan aʼzo.
qaqir	Tabiat	Suvsiz taqir yer.
qargʻa	Hayvonot	Qora patli yirik shovqinchi qush.
qaror	Jamiyat	Muhokamadan soʻng qabul qilingan xulosa.
qasam	Til	Ont ichib berilgan vaʼda.
qashqa	Hayvonot	Hayvon peshonasidagi oq belgi.
qasos	Tuygʻu	Yomonlikka javoban olinadigan oʻch.
qatiq	Oshxona	Sutni uyutib tayyorlanadigan nordon mahsulot.
qator	Ilm	Bir chiziqqa tizilgan narsalar ketma-ketligi.
qavat	Qurilish	Binoning bir sathdagi darajasi.
qaychi	Asbob	Ikki tigʻli kesish quroli.
qaygʻu	Tuygʻu	Yurakni ezuvchi chuqur alam.
qayin	Tabiat	Oq poʻstloqli nozik daraxt.
qayiq	Asbob	Eshkak bilan yuriladigan kichik suv ulovi.
qayir	Tabiat	Daryo boʻyidagi unumdor pastqam yer.
qayla	Oshxona	Taomga qoʻshib beriladigan quyuq masalliq.
qayni	Oila	Turmush oʻrtoqning ukasi yoki akasi.
qibla	Din	Ibodatda yuz buriladigan tomon.
qilich	Asbob	Uzun tigʻli qadimiy jang quroli.
qimiz	Oshxona	Biya sutidan tayyorlanadigan achigan ichimlik.
qimor	Oʻyin	Pul tikib oʻynaladigan tavakkal oʻyini.
qipiq	Tabiat	Yogʻoch arralaganda toʻkiladigan mayda zarralar.
qirol	Jamiyat	Gʻarb mamlakatlari hukmdori unvoni.
qiron	Tarix	Baxt yulduzlari tutashgan omadli davr.
qirov	Tabiat	Sovuqda yuzaga oʻtiradigan oq muz zarralari.
qirra	Ilm	Ikki yuza tutashgan oʻtkir chekka.
qissa	Sanʼat	Voqealar bayon qilinadigan oʻrta hajmli asar.
qiyiq	Kiyim	Belga bogʻlanadigan uchburchak mato.
qiyma	Oshxona	Maydalab toʻgʻralgan goʻsht.
qiyom	Oshxona	Shakar eritmasining quyuq holati.
qiyoq	Tabiat	Qirrali bargli oʻtkir oʻt oʻsimligi.
qiyos	Ilm	Ikki narsani solishtirib koʻrish.
qobiq	Tabiat	Narsaning ustki qattiq qatlami.
qobon	Hayvonot	Yovvoyi toʻngʻizning erkagi.
qochoq	Jamiyat	Taʼqibdan yashirinib yurgan kimsa.
qogʻoz	Ilm	Yozuv uchun yupqa varaq material.
qoida	Ilm	Amal qilinishi lozim boʻlgan tartib.
qolip	Asbob	Bir xil shakl berish uchun andoza.
qomus	Ilm	Barcha sohani qamrovchi izohli toʻplam.
qonun	Jamiyat	Davlat oʻrnatgan majburiy tartib hujjati.
qorin	Jism	Tananing ichak-oshqozon joylashgan qismi.
qoshiq	Uy-roʻzgʻor	Suyuq taom ichishga moʻljallangan dastali buyum.
qotil	Jamiyat	Odam oʻldirgan jinoyatchi.
qovoq	Oshxona	Yirik dumaloq poliz mevasi.
qovun	Oshxona	Shirin sersuv sariq poliz ekini.
qovuq	Jism	Suyuqlik yigʻiladigan ichki pufak aʼzo.
qoziq	Asbob	Yerga qoqiladigan uchli yogʻoch.
qozon	Uy-roʻzgʻor	Taom pishiriladigan chuqur metall idish.
qoʻbiz	Sanʼat	Kamon bilan chalinadigan qadimiy torli soz.
qoʻnim	Tuygʻu	Bir joyda muqim qolish holati.
qoʻnoq	Oila	Uyga tashrif buyurgan mehmon.
qoʻrchi	Tarix	Hukmdorning qurol-yarogʻ saqlovchisi.
qoʻriq	Tabiat	Haydalmagan boʻz yer.
qoʻshchi	Kasb-hunar	Yer haydovchi dehqon.
qoʻshin	Jamiyat	Davlatning harbiy kuchlari.
qoʻshiq	Sanʼat	Kuy bilan aytiladigan sheʼriy asar.
qoʻshni	Oila	Yonma-yon yashovchi kishi.
qoʻtir	Jism	Terini qichitib toshiruvchi kasallik.
qoʻton	Hayvonot	Suv boʻyida yashovchi uzun oyoqli qush.
qoʻtos	Hayvonot	Baland togʻlarda boqiladigan sershoq yirik mol.
qoʻzoq	Tabiat	Dukkakli oʻsimlikning urugʻ xaltasi.
qubba	Qurilish	Bino ustidagi gumbaz shaklidagi qism.
quduq	Tabiat	Suv olish uchun qazilgan chuqur oʻra.
quloch	Jism	Ikki qoʻl yoyilgandagi masofa oʻlchovi.
qulon	Hayvonot	Dashtda yashovchi yovvoyi eshaksimon jonivor.
quloq	Jism	Eshitish aʼzosi.
qumri	Hayvonot	Kaptarsimon mayda xushovoz qush.
qurol	Asbob	Jang yoki ish uchun moslama.
quroq	Kiyim	Mato parchalaridan ulab tikilgan buyum.
qurum	Uy-roʻzgʻor	Tutundan oʻtirgan qora parda.
qushchi	Kasb-hunar	Ovga parranda oʻrgatuvchi mutaxassis.
quvur	Qurilish	Suyuqlik oqiziladigan ichi boʻsh uzun buyum.
quyon	Hayvonot	Uzun quloqli qoʻrqoq kemiruvchi jonivor.
quyosh	Tabiat	Yerga nur va issiqlik beruvchi yulduz.
quyun	Tabiat	Aylanib koʻtariluvchi kuchli shamol ustuni.
rabot	Tarix	Karvonlar tunaydigan qadimiy manzilgoh.
radio	Asbob	Tovushni toʻlqin orqali uzatuvchi qurilma.
ramka	Uy-roʻzgʻor	Surat atrofiga solinadigan hoshiya.
randa	Asbob	Yogʻoch yuzasini silliqlovchi duradgor asbobi.
raqam	Ilm	Sonni yozuvda ifodalovchi belgi.
raqib	Oʻyin	Bellashuvda qarshi turuvchi tomon.
rasad	Ilm	Osmon jismlarini kuzatish ishi.
rasta	Savdo	Bozorning bir turdagi mollar qatori.
ravish	Til	Ish-harakat belgisini bildiruvchi soʻz turkumi.
ravoq	Qurilish	Egik gumbazsimon usti ochiq oʻtish joyi.
rejim	Jamiyat	Belgilangan qatʼiy tartib.
rioya	Tuygʻu	Qoidaga amal qilish, hurmat saqlash.
rishta	Tuygʻu	Bogʻlab turuvchi mustahkam aloqa ipi.
rivoj	Jamiyat	Oʻsish, taraqqiy etish jarayoni.
robot	Asbob	Buyruqlarni oʻzi bajaruvchi avtomatik qurilma.
rohat	Tuygʻu	Tanaga va ruhga yoqadigan orom.
rohib	Din	Tarki dunyo qilgan ibodatchi.
roman	Sanʼat	Katta hajmli nasriy badiiy asar.
rovoch	Oshxona	Nordon poyasi yeyiladigan bahorgi oʻsimlik.
roʻmol	Kiyim	Boshga oʻraladigan toʻrtburchak mato.
roʻvak	Tabiat	Supurgi boglanadigan dasht oʻsimligi.
roʻyan	Tabiat	Ildizidan qizil boʻyoq olinadigan oʻsimlik.
rubob	Sanʼat	Mezrob bilan chalinadigan torli milliy soz.
sabab	Ilm	Hodisani keltirib chiqaruvchi omil.
sabil	Din	Yoʻlovchilar uchun qoldirilgan tekin suv yoki narsa.
saboq	Ilm	Oʻrganilgan dars, hayotiy xulosa.
sabot	Tuygʻu	Qiyinchilikda ham qatʼiy turish.
sabzi	Oshxona	Toʻq sariq ildizmevali yegulik.
sadaf	Tabiat	Chigʻanoq ichidagi tovlanuvchi qatlam.
safar	Jamiyat	Uzoq joyga qilinadigan yurish.
safro	Jism	Jigar ishlab chiqaradigan achchiq suyuqlik.
sagʻir	Oila	Ota-onasiz qolgan bola.
sahar	Vaqt	Tong otar oldidagi payt.
sahna	Sanʼat	Tomosha koʻrsatiladigan maxsus maydoncha.
sahro	Tabiat	Suvsiz keng qumli dasht.
sajda	Din	Peshonani yerga qoʻyib qilinadigan taʼzim.
salat	Oshxona	Toʻgʻralgan sabzavotlardan sovuq taom.
salib	Din	Xristianlikning kesishgan chiziqli belgisi.
salla	Kiyim	Boshga oʻraladigan uzun mato.
salma	Oshxona	Xamir boʻlakchalari solingan suyuq taom.
salon	Uy-roʻzgʻor	Mehmon kutiladigan katta xona.
saman	Hayvonot	Och sariq tusli ot.
samar	Tuygʻu	Mehnatning koʻzga koʻringan natijasi.
samur	Hayvonot	Qimmat moʻynali kichik oʻrmon jonivori.
sanam	Sanʼat	Goʻzal yor timsoli, but.
sanoq	Ilm	Birma-bir hisoblab chiqish.
saqich	Oshxona	Chaynash uchun yumshoq elastik modda.
sarob	Tabiat	Issiqda koʻrinadigan aldamchi suv tasviri.
saroy	Qurilish	Hukmdorlar yashaydigan hashamatli bino.
sarpo	Kiyim	Toʻyda beriladigan bosh-oyoq kiyim sovgʻasi.
savat	Uy-roʻzgʻor	Chiviqdan toʻqilgan dastali idish.
savdo	Savdo	Oldi-sotdi ishi.
savob	Din	Yaxshi amal uchun beriladigan ajr.
savod	Ilm	Oʻqish-yozishni bilish darajasi.
savol	Til	Javob talab qiladigan soʻroq.
sayil	Oʻyin	Bayramona ommaviy sayr tadbiri.
segoh	Sanʼat	Sharq maqom turkumidagi yoʻllardan biri.
sevgi	Tuygʻu	Qalbni qamrab oluvchi muhabbat hissi.
sezgi	Tuygʻu	Tashqi taʼsirni his qilish qobiliyati.
shafaq	Tabiat	Kun botardagi osmon qizili.
shagʻal	Qurilish	Mayda dumaloq toshlar aralashmasi.
shahar	Jamiyat	Aholisi zich yirik yashash maskani.
shahid	Din	Eʼtiqod yoki vatan yoʻlida qurbon boʻlgan kishi.
shakar	Oshxona	Choyga solinadigan shirin oq mahsulot.
shamol	Tabiat	Havoning kuchli oqimi.
shanba	Vaqt	Haftaning oltinchi kuni.
sharaf	Tuygʻu	Yuksak obroʻ, faxrli eʼtibor.
sharob	Oshxona	Uzumdan achitib tayyorlanadigan ichimlik.
sharpa	Tuygʻu	Elas-elas sezilgan tovush yoki koʻlanka.
shaxta	Qurilish	Yer ostidan maʼdan qazib olinadigan inshoot.
sherik	Savdo	Ishni birga yurituvchi hamkor.
shingil	Oshxona	Uzum boshining kichik bir shoxchasi.
shinni	Oshxona	Meva sharbatidan qaynatilgan quyuq shirinlik.
shirach	Asbob	Ildizidan yelim olinadigan oʻsimlik.
shivit	Oshxona	Taomga solinadigan xushboʻy ingichka bargli koʻkat.
shohid	Jamiyat	Voqeani koʻrgan, guvohlik beruvchi kishi.
shoira	Sanʼat	Sheʼr yozuvchi ayol ijodkor.
shoʻrva	Oshxona	Goʻsht va sabzavotli suyuq taom.
shubha	Tuygʻu	Ishonchsizlikdan tugʻiladigan gumon.
shukur	Din	Berilgan neʼmatga minnatdorlik bildirish.
shuvoq	Tabiat	Achchiq hidli dasht oʻsimligi.
sifat	Til	Belgini bildiruvchi soʻz turkumi; xislat.
sigir	Hayvonot	Sut beruvchi yirik uy hayvoni.
sigʻim	Ilm	Idishga joylashadigan miqdor hajmi.
silla	Jism	Quvvat, majol.
simob	Ilm	Xona haroratida suyuq turadigan metall.
singil	Oila	Kishining oʻzidan kichik qiz qarindoshi.
sipoh	Tarix	Qadimgi davlatlarda harbiy xizmatchi.
sirgʻa	Kiyim	Quloqqa taqiladigan zeb-ziynat.
sirka	Oshxona	Taomga qoʻshiladigan nordon suyuqlik.
sirop	Oshxona	Shakar qoʻshib qaynatilgan quyuq sharbat.
siymo	Tuygʻu	Kishining tashqi qiyofasi, obrazi.
siyoh	Ilm	Yozish uchun boʻyoqli suyuqlik.
sizot	Tabiat	Yer ostidan sizib chiqadigan nam.
sochiq	Uy-roʻzgʻor	Artinish uchun yumshoq mato buyum.
sochma	Sanʼat	Nasr yoʻlida yozilgan erkin asar.
sogʻim	Hayvonot	Sut beradigan holatdagi mol.
sohib	Savdo	Biror narsaning egasi.
sohil	Tabiat	Suv havzasining quruqlik cheti.
soliq	Savdo	Davlatga majburiy toʻlanadigan pul.
somon	Tabiat	Yanchilgan don poyasining mayda qoldigʻi.
somsa	Oshxona	Tandirda pishiriladigan goʻshtli xamir taom.
sopol	Qurilish	Loydan pishirilgan idish materiali.
soqchi	Jamiyat	Qoʻriqlash vazifasidagi kishi.
soqol	Jism	Erkak iyagida oʻsadigan tuklar.
sovchi	Oila	Qiz soʻrab boruvchi vakil.
sovgʻa	Tuygʻu	Xushnudlik uchun beriladigan narsa.
sovun	Uy-roʻzgʻor	Yuvinish uchun koʻpiruvchi vosita.
sovut	Kiyim	Jangchini tigʻdan saqlovchi temir kiyim.
soʻfiy	Din	Tariqat yoʻliga kirgan zohid.
soʻgal	Jism	Terida chiqadigan qattiq kichik oʻsimta.
soʻlak	Jism	Ogʻizda ajraladigan suyuqlik.
soʻroq	Til	Javob kutib berilgan savol.
soʻrov	Jamiyat	Rasmiy tarzda bildirilgan talab.
soʻzak	Jism	Yuqumli tanosil kasalligi.
sukut	Til	Jim turish, ovoz chiqarmaslik.
